Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1989,1,7,6,1100,1045,1559,1554,UA,184,NA,179,189,NA,5,15,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,8,7,1110,1045,1554,1554,UA,184,NA,164,189,NA,0,25,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,9,1,1044,1045,1535,1554,UA,184,NA,171,189,NA,-19,-1,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,10,2,1048,1045,1539,1554,UA,184,NA,171,189,NA,-15,3,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,11,3,1150,1045,1701,1554,UA,184,NA,191,189,NA,67,65,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,12,4,1048,1045,1549,1554,UA,184,NA,181,189,NA,-5,3,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,13,5,1048,1045,1549,1554,UA,184,NA,181,189,NA,-5,3,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,14,6,1050,1045,1546,1554,UA,184,NA,176,189,NA,-8,5,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,15,7,1221,1045,1759,1554,UA,184,NA,218,189,NA,125,96,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1989,1,16,1,1048,1045,1542,1554,UA,184,NA,174,189,NA,-12,3,DEN,IAD,1452,NA,NA,0,NA,0,NA,NA,NA,NA,NA
